trade_number,date,platform,transaction_type,amount,price,currency,transfer_method,order_invoice_number,platform_fee
,2024-02-23 20:56:30,Binance,Sell,49.38,4.05,PLN,ZEN,20594449421386166272,0.04
,2024-02-23 21:27:22,Binance,Sell,13.08,4.05,PLN,ZEN,20594457188696915968,0.01
,2024-02-23 21:52:07,Binance,Sell,71.6,4.05,PLN,ZEN,20594463418872668160,0.07
,2024-02-23 21:52:23,Binance,Sell,98.76,4.05,PLN,ZEN,20594463483247120384,0.09
,2024-02-24 09:04:21,Binance,Sell,197.53,4.05,PLN,ZEN,20594632591341465600,0.19
,2024-02-24 09:11:10,Binance,Sell,197.53,4.05,PLN,ZEN,20594634305388765184,0.19
,2024-02-24 09:14:03,Binance,Sell,197.53,4.05,PLN,ZEN,20594635031749390336,0.19
,2024-02-24 09:17:29,Binance,Sell,197.53,4.05,PLN,ZEN,20594635897662812160,0.19
,2024-02-24 09:19:04,Binance,Sell,51.85,4.05,PLN,ZEN,20594636294554976256,0.05
,2024-02-24 09:26:20,Binance,Sell,160.49,4.05,PLN,ZEN,20594638123200532480,0.16
,2024-02-24 09:36:53,Binance,Sell,197.53,4.05,PLN,ZEN,20594640779812716544,0.19
,2024-02-24 09:47:46,Binance,Sell,134.48,4.06,PLN,ZEN,20594643516791889920,0.13
,2024-02-24 09:52:23,Binance,Sell,12.31,4.06,PLN,ZEN,20594644680384053248,0.01
,2024-02-24 09:58:03,Binance,Sell,24.63,4.06,PLN,ZEN,20594646106016759808,0.02
,2024-02-24 14:33:09,Binance,Sell,110.83,4.06,PLN,ZEN,20594715337232138240,0.11
,2024-02-24 14:44:20,Binance,Sell,24.63,4.06,PLN,ZEN,20594718148382867456,0.02
,2024-02-24 14:59:53,Binance,Sell,135.46,4.06,PLN,ZEN,20594722065288949760,0.13
,2024-02-24 15:13:56,Binance,Sell,9.85,4.06,PLN,ZEN,20594725597613096960,0.0
,2024-02-24 15:21:48,Binance,Sell,147.78,4.06,PLN,ZEN,20594727578636054528,0.14
,2024-02-24 16:29:58,Binance,Sell,12.31,4.06,PLN,ZEN,20594744733010685952,0.01
,2024-02-24 16:57:45,Binance,Buy,12.8,3.97,PLN,ZEN,20594751724636008448,0.01
,2024-02-24 18:01:04,Binance,Sell,197.04,4.06,PLN,ZEN,20594767662047539200,0.19
,2024-02-24 18:11:26,Binance,Sell,22.16,4.06,PLN,ZEN,20594770270134710272,0.02
,2024-02-24 18:19:02,Binance,Sell,12.83,4.06,PLN,ZEN,20594772182763556864,0.01
,2024-02-24 18:48:38,Binance,Sell,22.16,4.06,PLN,ZEN,20594779630032199680,0.02
,2024-02-24 19:34:55,Binance,Sell,12.31,4.06,PLN,ZEN,20594791280139223040,0.01
,2024-02-24 19:36:47,Binance,Sell,197.04,4.06,PLN,ZEN,20594791748919119872,0.19
,2024-02-24 19:42:26,Binance,Sell,197.04,4.06,PLN,ZEN,20594793169663750144,0.19
,2024-02-24 19:44:58,Binance,Sell,197.04,4.06,PLN,ZEN,20594793806073569280,0.19
,2024-02-24 19:54:08,Binance,Sell,197.04,4.06,PLN,ZEN,20594796113161728000,0.19
,2024-02-24 19:56:14,Binance,Sell,14.53,4.06,PLN,ZEN,20594796640677457920,0.01
,2024-02-24 20:08:20,Binance,Sell,12.31,4.06,PLN,ZEN,20594799686625636352,0.01
,2024-02-25 16:12:34,Binance,Sell,9.82,4.07,PLN,ZEN,20595102741475078144,0.0
,2024-02-25 16:31:09,Binance,Buy,1697.97,0.922,EUR,SEPA,20595107421005975552,0.0
,2024-02-25 16:42:57,Binance,Sell,98.28,4.07,PLN,ZEN,20595110390313484288,0.09
,2024-02-25 17:48:22,Binance,Sell,805.58,0.931,EUR,SEPA,20595126852921942016,0.0
,2024-02-25 18:27:07,Binance,Sell,98.28,4.07,PLN,ZEN,20595136603304722432,0.09
,2024-02-26 16:43:49,Binance,Buy,2603.49,0.921,EUR,SEPA,20595472995022065664,0.0
,2024-02-26 16:51:30,Binance,Sell,269.1,0.929,EUR,SEPA,20595474927850143744,0.0
,2024-02-26 17:00:00,Binance,Sell,322.92,0.929,EUR,SEPA,20595477066792001536,0.0
,2024-02-26 17:14:24,Binance,Sell,215.28,0.929,EUR,SEPA,20595480693538340864,0.0
